s,Pa,Pa,m/s,m/s,m/s,m3/s
Time,"INLET PRESSURE","EXIT PRESSURE","Uinst","Vinst","Winst","QDOT"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8939596E-003,-2.8924637E-003, 2.7724820E-003,-4.0657581E-019
 2.7950850E-001, 7.7911141E+000, 1.9557330E-002, 1.5776196E-002,-2.8194928E-003, 2.8432636E-003, 2.9726531E-001
 5.0311529E-001, 6.8663661E+000, 1.7075537E-002, 4.1891374E-002,-2.6377561E-003, 3.0588026E-003, 7.1101523E-001
 7.2672209E-001, 5.5921856E+000, 1.3811196E-002, 6.1430831E-002,-2.3990100E-003, 3.3151499E-003, 1.0176314E+000
 1.0062306E+000, 4.0907986E+000, 1.0048490E-002, 7.8460772E-002,-2.0612588E-003, 3.5605868E-003, 1.2804989E+000
 1.2298374E+000, 2.7969551E+000, 6.8487525E-003, 9.0928601E-002,-1.6794644E-003, 3.6487414E-003, 1.4676410E+000
 1.4534442E+000, 1.9211899E+000, 4.7010618E-003, 9.8767031E-002,-1.3270353E-003, 3.5023750E-003, 1.5800685E+000
 1.7329527E+000, 1.2272192E+000, 3.0072783E-003, 1.0495926E-001,-9.4555164E-004, 3.0215398E-003, 1.6631143E+000
 1.9565595E+000, 7.6253366E-001, 1.8759855E-003, 1.0930957E-001,-6.0081880E-004, 2.2064312E-003, 1.7163042E+000
 2.1801663E+000, 4.9548754E-001, 1.2264136E-003, 1.1203792E-001,-3.3866896E-004, 1.2024489E-003, 1.7460250E+000
 2.4037731E+000, 3.1963431E-001, 7.9842176E-004, 1.1401934E-001,-1.2052617E-004,-1.6952083E-005, 1.7652975E+000
 2.6832816E+000, 1.9491484E-001, 4.9424597E-004, 1.1556580E-001, 7.6017238E-005,-1.5743772E-003, 1.7788390E+000
 2.9068884E+000, 1.1728906E-001, 3.0420296E-004, 1.1656960E-001, 2.3423488E-004,-3.2242115E-003, 1.7872337E+000
 3.1304952E+000, 7.4854726E-002, 1.9970661E-004, 1.1705671E-001, 3.5230530E-004,-4.6812893E-003, 1.7918265E+000
 3.4100037E+000, 4.5420729E-002, 1.2666204E-004, 1.1720989E-001, 4.7183102E-004,-6.1972124E-003, 1.7950304E+000
 3.6336105E+000, 2.7458180E-002, 8.1618600E-005, 1.1701453E-001, 5.8501321E-004,-7.4879955E-003, 1.7970074E+000
 3.8572173E+000, 1.7813784E-002, 5.7141054E-005, 1.1657159E-001, 6.8146429E-004,-8.3549419E-003, 1.7980860E+000
 4.0808241E+000, 1.1766333E-002, 4.1584258E-005, 1.1592138E-001, 7.7121376E-004,-8.9029753E-003, 1.7987759E+000
 4.3603326E+000, 7.6829901E-003, 3.0855931E-005, 1.1499381E-001, 8.5635016E-004,-9.0796526E-003, 1.7992563E+000
 4.5839394E+000, 5.2793624E-003, 2.4318392E-005, 1.1393188E-001, 9.1559331E-004,-8.7886959E-003, 1.7995524E+000
 4.8075462E+000, 4.0584098E-003, 2.0802449E-005, 1.1292778E-001, 9.3543198E-004,-8.1120048E-003, 1.7997138E+000
