s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.7082042E-001, 0.0000000E+000, 0.0000000E+000, 1.2780583E-010,-6.8118926E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.1611463E-009, 1.2712464E-010, 0.0000000E+000, 0.0000000E+000
 1.3416408E+000, 0.0000000E+000, 0.0000000E+000, 2.9010516E-010,-6.4942951E-012, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1033609E-008, 2.8361087E-010, 0.0000000E+000, 0.0000000E+000
 1.9565595E+000, 0.0000000E+000, 0.0000000E+000, 3.5313496E-010,-1.6791678E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7736279E-008, 3.3634329E-010, 0.0000000E+000, 0.0000000E+000
 2.6273799E+000, 0.0000000E+000, 0.0000000E+000, 3.7278915E-010,-2.8835035E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2164921E-008, 3.4395411E-010, 0.0000000E+000, 0.0000000E+000
 3.2422986E+000, 0.0000000E+000, 0.0000000E+000, 3.7806421E-010,-4.1379572E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3138475E-008, 3.3668464E-010, 0.0000000E+000, 0.0000000E+000
 3.9131191E+000, 0.0000000E+000, 0.0000000E+000, 3.7864265E-010,-5.4054702E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2936488E-008, 3.2458795E-010, 0.0000000E+000, 0.0000000E+000
 4.5280375E+000, 0.0000000E+000, 0.0000000E+000, 3.7771133E-010,-6.6876439E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2937229E-008, 3.1083489E-010, 0.0000000E+000, 0.0000000E+000
 5.1988583E+000, 0.0000000E+000, 0.0000000E+000, 3.7581049E-010,-7.9951421E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3134499E-008, 2.9585907E-010, 0.0000000E+000, 0.0000000E+000
 5.8137770E+000, 0.0000000E+000, 0.0000000E+000, 3.7317659E-010,-9.3258759E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3288604E-008, 2.7991783E-010, 0.0000000E+000, 0.0000000E+000
 6.4845972E+000, 0.0000000E+000, 0.0000000E+000, 3.7011341E-010,-1.0659705E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3215717E-008, 2.6351636E-010, 0.0000000E+000, 0.0000000E+000
 7.0995159E+000, 0.0000000E+000, 0.0000000E+000, 3.6642814E-010,-1.2001106E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3282167E-008, 2.4641708E-010, 0.0000000E+000, 0.0000000E+000
 7.7703362E+000, 0.0000000E+000, 0.0000000E+000, 3.6220445E-010,-1.3361835E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3301620E-008, 2.2858609E-010, 0.0000000E+000, 0.0000000E+000
 8.3852549E+000, 0.0000000E+000, 0.0000000E+000, 3.5735138E-010,-1.4732427E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3509538E-008, 2.1002711E-010, 0.0000000E+000, 0.0000000E+000
 9.0560751E+000, 0.0000000E+000, 0.0000000E+000, 3.5199446E-010,-1.6096093E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3498069E-008, 1.9103353E-010, 0.0000000E+000, 0.0000000E+000
 9.7268953E+000, 0.0000000E+000, 0.0000000E+000, 3.4579170E-010,-1.7528449E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3667446E-008, 1.7050721E-010, 0.0000000E+000, 0.0000000E+000
 1.0341814E+001, 0.0000000E+000, 0.0000000E+000, 3.3924334E-010,-1.8901536E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3810176E-008, 1.5022798E-010, 0.0000000E+000, 0.0000000E+000
 1.1012635E+001, 0.0000000E+000, 0.0000000E+000, 3.3222022E-010,-2.0291529E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3859730E-008, 1.2930494E-010, 0.0000000E+000, 0.0000000E+000
 1.1627554E+001, 0.0000000E+000, 0.0000000E+000, 3.2449680E-010,-2.1685285E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3872461E-008, 1.0764395E-010, 0.0000000E+000, 0.0000000E+000
 1.2298374E+001, 0.0000000E+000, 0.0000000E+000, 3.1626587E-010,-2.3070632E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3911966E-008, 8.5559553E-011, 0.0000000E+000, 0.0000000E+000
 1.2913293E+001, 0.0000000E+000, 0.0000000E+000, 3.0740011E-010,-2.4458998E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4013125E-008, 6.2810130E-011, 0.0000000E+000, 0.0000000E+000
 1.3584113E+001, 0.0000000E+000, 0.0000000E+000, 2.9796320E-010,-2.5861839E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4026156E-008, 3.9344808E-011, 0.0000000E+000, 0.0000000E+000
 1.4199032E+001, 0.0000000E+000, 0.0000000E+000, 2.8803333E-010,-2.7268816E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4205283E-008, 1.5345173E-011, 0.0000000E+000, 0.0000000E+000
 1.4869852E+001, 0.0000000E+000, 0.0000000E+000, 2.7745773E-010,-2.8667681E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4193103E-008,-9.2190789E-012, 0.0000000E+000, 0.0000000E+000
 1.5484771E+001, 0.0000000E+000, 0.0000000E+000, 2.6628004E-010,-3.0068490E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4165905E-008,-3.4404861E-011, 0.0000000E+000, 0.0000000E+000
 1.6155592E+001, 0.0000000E+000, 0.0000000E+000, 2.5453119E-010,-3.1480052E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4313368E-008,-6.0269330E-011, 0.0000000E+000, 0.0000000E+000
 1.6770510E+001, 0.0000000E+000, 0.0000000E+000, 2.4236033E-010,-3.2891458E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4366961E-008,-8.6554246E-011, 0.0000000E+000, 0.0000000E+000
 1.7441330E+001, 0.0000000E+000, 0.0000000E+000, 2.2939093E-010,-3.4288869E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4490901E-008,-1.1349776E-010, 0.0000000E+000, 0.0000000E+000
 1.8112150E+001, 0.0000000E+000, 0.0000000E+000, 2.1501000E-010,-3.5751745E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4535675E-008,-1.4250744E-010, 0.0000000E+000, 0.0000000E+000
 1.8727070E+001, 0.0000000E+000, 0.0000000E+000, 2.0080915E-010,-3.7144528E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4453479E-008,-1.7063612E-010, 0.0000000E+000, 0.0000000E+000
 1.9397890E+001, 0.0000000E+000, 0.0000000E+000, 1.8604260E-010,-3.8546969E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4587911E-008,-1.9942710E-010, 0.0000000E+000, 0.0000000E+000
 2.0012808E+001, 0.0000000E+000, 0.0000000E+000, 1.7074126E-010,-3.9946287E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4625759E-008,-2.2872161E-010, 0.0000000E+000, 0.0000000E+000
 2.0683628E+001, 0.0000000E+000, 0.0000000E+000, 1.5485421E-010,-4.1333871E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4579581E-008,-2.5848450E-010, 0.0000000E+000, 0.0000000E+000
 2.1298548E+001, 0.0000000E+000, 0.0000000E+000, 1.3840145E-010,-4.2720215E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4654724E-008,-2.8880071E-010, 0.0000000E+000, 0.0000000E+000
 2.1969368E+001, 0.0000000E+000, 0.0000000E+000, 1.2140299E-010,-4.4118321E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4707134E-008,-3.1978022E-010, 0.0000000E+000, 0.0000000E+000
 2.2584286E+001, 0.0000000E+000, 0.0000000E+000, 1.0381154E-010,-4.5513708E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4759985E-008,-3.5132554E-010, 0.0000000E+000, 0.0000000E+000
 2.3255108E+001, 0.0000000E+000, 0.0000000E+000, 8.5487045E-011,-4.6898661E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4735421E-008,-3.8349956E-010, 0.0000000E+000, 0.0000000E+000
 2.3870026E+001, 0.0000000E+000, 0.0000000E+000, 6.6445864E-011,-4.8280928E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4885314E-008,-4.1636341E-010, 0.0000000E+000, 0.0000000E+000
 2.4540846E+001, 0.0000000E+000, 0.0000000E+000, 4.6675268E-011,-4.9672008E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4980289E-008,-4.5004481E-010, 0.0000000E+000, 0.0000000E+000
 2.5155766E+001, 0.0000000E+000, 0.0000000E+000, 2.6228008E-011,-5.1064598E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4993983E-008,-4.8441797E-010, 0.0000000E+000, 0.0000000E+000
 2.5826586E+001, 0.0000000E+000, 0.0000000E+000, 5.1113602E-012,-5.2440831E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4976991E-008,-5.1929695E-010, 0.0000000E+000, 0.0000000E+000
 2.6497406E+001, 0.0000000E+000, 0.0000000E+000,-1.7555067E-011,-5.3877995E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5211967E-008,-5.5633502E-010, 0.0000000E+000, 0.0000000E+000
 2.7112324E+001, 0.0000000E+000, 0.0000000E+000,-3.9854058E-011,-5.5248599E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5217378E-008,-5.9234005E-010, 0.0000000E+000, 0.0000000E+000
 2.7783144E+001, 0.0000000E+000, 0.0000000E+000,-6.2726031E-011,-5.6623400E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5207628E-008,-6.2896003E-010, 0.0000000E+000, 0.0000000E+000
 2.8398064E+001, 0.0000000E+000, 0.0000000E+000,-8.6158252E-011,-5.7993408E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5268683E-008,-6.6609233E-010, 0.0000000E+000, 0.0000000E+000
 2.9068884E+001, 0.0000000E+000, 0.0000000E+000,-1.1026350E-010,-5.9347112E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5220297E-008,-7.0373462E-010, 0.0000000E+000, 0.0000000E+000
 2.9683802E+001, 0.0000000E+000, 0.0000000E+000,-1.3503268E-010,-6.0692033E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5422221E-008,-7.4195301E-010, 0.0000000E+000, 0.0000000E+000
 3.0354622E+001, 0.0000000E+000, 0.0000000E+000,-1.6051126E-010,-6.2042540E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5434794E-008,-7.8093666E-010, 0.0000000E+000, 0.0000000E+000
 3.0969542E+001, 0.0000000E+000, 0.0000000E+000,-1.8666287E-010,-6.3387865E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5336838E-008,-8.2054152E-010, 0.0000000E+000, 0.0000000E+000
 3.1640362E+001, 0.0000000E+000, 0.0000000E+000,-2.1344022E-010,-6.4711725E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5365378E-008,-8.6055747E-010, 0.0000000E+000, 0.0000000E+000
 3.2255280E+001, 0.0000000E+000, 0.0000000E+000,-2.4087421E-010,-6.6029508E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5462735E-008,-9.0116930E-010, 0.0000000E+000, 0.0000000E+000
 3.2926102E+001, 0.0000000E+000, 0.0000000E+000,-2.6891394E-010,-6.7353163E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5488072E-008,-9.4244557E-010, 0.0000000E+000, 0.0000000E+000
 3.3541019E+001, 0.0000000E+000, 0.0000000E+000,-2.9746116E-010,-6.8662901E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5555879E-008,-9.8409017E-010, 0.0000000E+000, 0.0000000E+000
 3.4211842E+001, 0.0000000E+000, 0.0000000E+000,-3.2657226E-010,-6.9953670E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5499873E-008,-1.0261090E-009, 0.0000000E+000, 0.0000000E+000
 3.4882660E+001, 0.0000000E+000, 0.0000000E+000,-3.5762605E-010,-7.1300865E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5682438E-008,-1.0706347E-009, 0.0000000E+000, 0.0000000E+000
 3.5497578E+001, 0.0000000E+000, 0.0000000E+000,-3.8804137E-010,-7.2577707E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5557962E-008,-1.1138184E-009, 0.0000000E+000, 0.0000000E+000
 3.6168400E+001, 0.0000000E+000, 0.0000000E+000,-4.1907879E-010,-7.3858447E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5736063E-008,-1.1576633E-009, 0.0000000E+000, 0.0000000E+000
 3.6783318E+001, 0.0000000E+000, 0.0000000E+000,-4.5073284E-010,-7.5136784E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5770566E-008,-1.2021007E-009, 0.0000000E+000, 0.0000000E+000
 3.7454140E+001, 0.0000000E+000, 0.0000000E+000,-4.8301445E-010,-7.6396418E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5725824E-008,-1.2469786E-009, 0.0000000E+000, 0.0000000E+000
 3.8069057E+001, 0.0000000E+000, 0.0000000E+000,-5.1585266E-010,-7.7654438E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5802182E-008,-1.2923970E-009, 0.0000000E+000, 0.0000000E+000
 3.8739880E+001, 0.0000000E+000, 0.0000000E+000,-5.4926750E-010,-7.8922037E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5861707E-008,-1.3384879E-009, 0.0000000E+000, 0.0000000E+000
 3.9354797E+001, 0.0000000E+000, 0.0000000E+000,-5.8317164E-010,-8.0180104E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5852541E-008,-1.3849727E-009, 0.0000000E+000, 0.0000000E+000
 4.0025616E+001, 0.0000000E+000, 0.0000000E+000,-6.1763603E-010,-8.1424228E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5849559E-008,-1.4318783E-009, 0.0000000E+000, 0.0000000E+000
 4.0640537E+001, 0.0000000E+000, 0.0000000E+000,-6.5268432E-010,-8.2665548E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5888133E-008,-1.4793398E-009, 0.0000000E+000, 0.0000000E+000
 4.1311356E+001, 0.0000000E+000, 0.0000000E+000,-6.8834561E-010,-8.3907589E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5924182E-008,-1.5274215E-009, 0.0000000E+000, 0.0000000E+000
 4.1926273E+001, 0.0000000E+000, 0.0000000E+000,-7.2456169E-010,-8.5145236E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6009864E-008,-1.5760140E-009, 0.0000000E+000, 0.0000000E+000
 4.2597095E+001, 0.0000000E+000, 0.0000000E+000,-7.6129800E-010,-8.6368046E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5919149E-008,-1.6249785E-009, 0.0000000E+000, 0.0000000E+000
 4.3267914E+001, 0.0000000E+000, 0.0000000E+000,-8.0018435E-010,-8.7642009E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6012688E-008,-1.6766044E-009, 0.0000000E+000, 0.0000000E+000
 4.3882835E+001, 0.0000000E+000, 0.0000000E+000,-8.3792656E-010,-8.8852794E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6046971E-008,-1.7264545E-009, 0.0000000E+000, 0.0000000E+000
 4.4553654E+001, 0.0000000E+000, 0.0000000E+000,-8.7612898E-010,-9.0065903E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6157422E-008,-1.7767880E-009, 0.0000000E+000, 0.0000000E+000
 4.5168571E+001, 0.0000000E+000, 0.0000000E+000,-9.1487891E-010,-9.1276703E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6042806E-008,-1.8276459E-009, 0.0000000E+000, 0.0000000E+000
